student_id,student_number,first_name,last_name,gender,date_of_birth,department_id,programme,level,admission_year
44,STU20230044,Chinedu,Nwosu,Female,2004-11-28,4,Economics,200,2023
45,STU20230045,Michael,Eze,Female,1998-08-08,2,Mathematics,200,2024
46,STU20230046,Ifeanyi,Obi,Male,1998-11-07,3,Accounting,400,2023
47,STU20230047,Joy,Eze,Female,2003-11-17,3,Accounting,400,2023
48,STU20230048,Adaeze,Adebayo,Male,2002-01-04,1,Computer Science,400,2023
49,STU20230049,David,Adeyemi,Male,2004-10-07,3,Accounting,300,2021
50,STU20230050,Chinedu,Olawale,Male,2003-07-03,4,Economics,300,2023
51,STU20230051,Chioma,Adebayo,Female,2004-06-13,1,Computer Science,300,2022
52,STU20230052,David,Ibrahim,Male,2002-07-18,2,Mathematics,100,2023
53,STU20230053,Ngozi,Ibrahim,Female,2005-08-15,3,Accounting,200,2024
54,STU20230054,Samuel,Eze,Female,2006-11-21,2,Mathematics,300,2021
55,STU20230055,Samuel,Adebayo,Male,2001-03-01,2,Mathematics,100,2022
56,STU20230056,Esther,Eze,Female,2004-11-19,4,Economics,200,2024
57,STU20230057,David,Obi,Male,1998-02-25,4,Economics,400,2022
58,STU20230058,Michael,Olawale,Female,1998-09-08,2,Mathematics,100,2024
59,STU20230059,Michael,Uche,Female,2005-10-27,2,Mathematics,400,2024
60,STU20230060,Chioma,Uche,Female,2002-04-27,2,Mathematics,300,2024
61,STU20230061,Ifeanyi,Uche,Male,2002-04-09,2,Mathematics,300,2023
62,STU20230062,Emeka,Nwosu,Male,2004-12-05,1,Computer Science,200,2021
63,STU20230063,David,Okeke,Female,2004-01-07,4,Economics,400,2024
64,STU20230064,Joy,Adeyemi,Female,2005-01-12,1,Computer Science,300,2024
65,STU20230065,Daniel,Olawale,Male,2005-04-09,4,Economics,400,2024
66,STU20230066,David,Okeke,Female,2000-08-05,1,Computer Science,100,2024
67,STU20230067,Adaeze,Ibrahim,Male,2005-03-02,1,Computer Science,300,2024
68,STU20230068,Ngozi,Uche,Female,2003-07-09,3,Accounting,400,2023
69,STU20230069,Grace,Okafor,Male,2003-04-21,1,Computer Science,100,2021
70,STU20230070,Ngozi,Obi,Male,2000-04-05,1,Computer Science,400,2021
71,STU20230071,Grace,Adebayo,Female,2000-10-20,2,Mathematics,100,2022
72,STU20230072,Adaeze,Adeyemi,Male,2002-10-22,3,Accounting,400,2024
73,STU20230073,Adaeze,Adeyemi,Male,1999-12-25,2,Mathematics,300,2021
74,STU20230074,Amaka,Olawale,Female,2003-02-17,1,Computer Science,300,2021
75,STU20230075,Joy,Uche,Male,2004-06-21,4,Economics,400,2022
76,STU20230076,Emeka,Olawale,Female,2006-08-15,4,Economics,400,2023
77,STU20230077,Joy,Obi,Male,2002-08-08,3,Accounting,400,2024
78,STU20230078,Chinedu,Uche,Female,2000-08-07,3,Accounting,300,2023
79,STU20230079,Ifeanyi,Adeyemi,Female,2006-01-17,3,Accounting,200,2021
80,STU20230080,Chioma,Ibrahim,Female,2006-04-23,2,Mathematics,400,2024
81,STU20230081,Michael,Okafor,Male,2002-04-13,4,Economics,200,2023
82,STU20230082,Grace,Olawale,Female,2004-12-18,3,Accounting,300,2023
83,STU20230083,Ifeanyi,Adebayo,Female,2001-02-24,4,Economics,200,2023
84,STU20230084,Chioma,Olawale,Male,2001-04-24,1,Computer Science,400,2023
85,STU20230085,Adaeze,Obi,Female,2001-06-06,3,Accounting,300,2021
86,STU20230086,Ifeanyi,Okafor,Male,2006-05-23,2,Mathematics,200,2024
87,STU20230087,Joy,Okafor,Female,2005-08-15,1,Computer Science,300,2022
88,STU20230088,Ifeanyi,Uche,Male,1999-07-16,1,Computer Science,100,2021
89,STU20230089,Emeka,Adeyemi,Female,1999-04-04,2,Mathematics,400,2022
90,STU20230090,Grace,Uche,Female,2004-05-19,4,Economics,100,2021
91,STU20230091,Samuel,Obi,Female,1999-03-08,2,Mathematics,200,2021
92,STU20230092,Chinedu,Ibrahim,Female,2005-05-02,2,Mathematics,200,2023
93,STU20230093,Chioma,Uche,Male,2001-05-26,3,Accounting,200,2024
94,STU20230094,Daniel,Obi,Male,2002-03-03,1,Computer Science,100,2022
95,STU20230095,Esther,Adeyemi,Female,2005-02-15,3,Accounting,300,2024
96,STU20230096,Daniel,Olawale,Female,2005-02-20,3,Accounting,100,2024
97,STU20230097,Esther,Adebayo,Male,1999-04-22,3,Accounting,100,2023
98,STU20230098,Michael,Nwosu,Female,2006-11-15,1,Computer Science,300,2022
99,STU20230099,Samuel,Uche,Male,2005-06-14,4,Economics,300,2023
100,STU20230100,Joy,Nwosu,Female,2004-12-16,1,Computer Science,300,2024
101,STU20230101,Grace,Eze,Female,2002-06-04,1,Computer Science,400,2021
102,STU20230102,David,Okafor,Male,2006-06-20,4,Economics,400,2024
103,STU20230103,Ngozi,Adebayo,Male,2002-08-23,1,Computer Science,400,2021
104,STU20230104,Samuel,Adeyemi,Male,2000-05-18,1,Computer Science,100,2024
105,STU20230105,Ngozi,Eze,Female,1999-11-27,1,Computer Science,200,2024
106,STU20230106,Daniel,Adebayo,Female,2005-08-08,3,Accounting,400,2022
107,STU20230107,Ngozi,Adeyemi,Male,1999-05-25,4,Economics,400,2023
108,STU20230108,Joy,Okafor,Female,2002-10-19,3,Accounting,400,2022
109,STU20230109,Daniel,Uche,Female,2003-09-25,4,Economics,400,2024
110,STU20230110,Joy,Obi,Male,2004-04-28,3,Accounting,400,2021
111,STU20230111,Chioma,Uche,Female,2004-11-26,3,Accounting,200,2024
112,STU20230112,Emeka,Olawale,Female,1999-08-04,1,Computer Science,400,2021
113,STU20230113,David,Nwosu,Male,2005-05-11,2,Mathematics,400,2021
114,STU20230114,Joy,Olawale,Female,2003-11-23,3,Accounting,400,2021
115,STU20230115,Ngozi,Adebayo,Male,1999-07-04,1,Computer Science,100,2024
116,STU20230116,Chioma,Adebayo,Male,1998-06-26,2,Mathematics,100,2023
117,STU20230117,Amaka,Ibrahim,Male,2001-09-14,3,Accounting,200,2022
118,STU20230118,Adaeze,Adeyemi,Female,2001-08-19,2,Mathematics,200,2022
119,STU20230119,Samuel,Adebayo,Female,2002-11-01,4,Economics,400,2023
120,STU20230120,Adaeze,Uche,Female,2002-11-14,2,Mathematics,300,2024
121,STU20230121,Ngozi,Ibrahim,Female,1999-04-13,3,Accounting,300,2023
122,STU20230122,Chinedu,Ibrahim,Female,1998-10-28,3,Accounting,100,2024
123,STU20230123,Michael,Obi,Female,2001-11-07,3,Accounting,300,2022
124,STU20230124,Victor,Okafor,Female,2005-01-19,1,Computer Science,300,2022
125,STU20230125,Victor,Adebayo,Female,2004-03-07,1,Computer Science,200,2023
126,STU20230126,Joy,Nwosu,Female,2005-05-24,3,Accounting,300,2021
127,STU20230127,Adaeze,Nwosu,Male,2004-09-12,4,Economics,100,2024
128,STU20230128,Ifeanyi,Olawale,Male,2005-06-22,1,Computer Science,300,2024
129,STU20230129,Adaeze,Obi,Female,1998-10-18,3,Accounting,300,2022
130,STU20230130,Samuel,Uche,Female,2004-02-05,1,Computer Science,100,2021
131,STU20230131,Grace,Eze,Male,2001-09-05,3,Accounting,400,2024
132,STU20230132,Samuel,Olawale,Female,2000-07-21,3,Accounting,100,2024
133,STU20230133,Ifeanyi,Okafor,Female,2001-08-15,4,Economics,200,2023
134,STU20230134,Samuel,Okeke,Female,1998-07-09,1,Computer Science,200,2021
135,STU20230135,Adaeze,Obi,Male,1998-06-08,4,Economics,200,2022
136,STU20230136,Joy,Olawale,Male,2001-04-11,1,Computer Science,200,2021
137,STU20230137,Joy,Nwosu,Male,2006-05-26,3,Accounting,200,2021
138,STU20230138,Emeka,Okafor,Female,2001-10-11,1,Computer Science,100,2022
139,STU20230139,Chinedu,Nwosu,Female,2006-02-24,3,Accounting,100,2024
140,STU20230140,Michael,Okeke,Male,2005-09-08,4,Economics,100,2023
141,STU20230141,Samuel,Okafor,Male,2005-07-14,4,Economics,100,2024
142,STU20230142,Adaeze,Eze,Female,2000-02-05,4,Economics,300,2023
143,STU20230143,Esther,Olawale,Female,2005-09-20,4,Economics,400,2021
144,STU20230144,Joy,Olawale,Male,2004-08-08,1,Computer Science,400,2023
145,STU20230145,David,Ibrahim,Male,2003-07-11,4,Economics,300,2023
146,STU20230146,Samuel,Uche,Male,1999-02-03,2,Mathematics,400,2021
147,STU20230147,Michael,Nwosu,Male,2006-09-11,3,Accounting,100,2024
148,STU20230148,Joy,Ibrahim,Male,2002-10-10,3,Accounting,300,2021
149,STU20230149,Emeka,Uche,Male,1999-06-28,2,Mathematics,300,2021
150,STU20230150,Esther,Obi,Female,2006-10-20,3,Accounting,100,2023
151,STU20230151,Emeka,Adebayo,Female,2003-06-01,1,Computer Science,200,2022
152,STU20230152,Adaeze,Nwosu,Male,1999-12-17,4,Economics,200,2024
153,STU20230153,Grace,Okeke,Male,2003-05-24,4,Economics,300,2021
154,STU20230154,Emeka,Nwosu,Male,1999-05-15,1,Computer Science,400,2024
155,STU20230155,David,Adebayo,Male,2006-02-12,4,Economics,400,2021
156,STU20230156,Samuel,Adeyemi,Female,2006-11-10,3,Accounting,100,2022
157,STU20230157,Esther,Okafor,Male,2001-05-07,4,Economics,200,2023
158,STU20230158,Amaka,Eze,Male,2005-12-14,3,Accounting,200,2022
159,STU20230159,Daniel,Obi,Female,1999-07-28,4,Economics,100,2024
160,STU20230160,Grace,Eze,Female,2004-10-13,1,Computer Science,400,2023
161,STU20230161,David,Okafor,Female,2000-10-15,1,Computer Science,300,2021
162,STU20230162,Joy,Eze,Male,2004-10-13,4,Economics,100,2024
163,STU20230163,Chioma,Okeke,Male,2003-03-03,3,Accounting,100,2022
164,STU20230164,Amaka,Nwosu,Male,1999-03-09,3,Accounting,200,2022
165,STU20230165,Michael,Eze,Male,2005-08-25,2,Mathematics,400,2023
166,STU20230166,Emeka,Uche,Male,2005-08-21,3,Accounting,300,2023
167,STU20230167,Amaka,Olawale,Male,2002-08-15,1,Computer Science,100,2021
168,STU20230168,Joy,Adebayo,Male,1999-10-20,3,Accounting,400,2024
169,STU20230169,Grace,Adeyemi,Male,2003-10-16,1,Computer Science,200,2021
170,STU20230170,Adaeze,Okeke,Male,2006-11-06,4,Economics,100,2022
171,STU20230171,Grace,Olawale,Male,2003-06-10,4,Economics,400,2024
172,STU20230172,Samuel,Adeyemi,Male,2003-02-11,3,Accounting,100,2024
173,STU20230173,Ifeanyi,Adeyemi,Male,2003-02-19,3,Accounting,200,2023
174,STU20230174,Samuel,Ibrahim,Male,1999-05-18,3,Accounting,400,2023
175,STU20230175,Samuel,Olawale,Male,2004-09-12,2,Mathematics,100,2023
176,STU20230176,Emeka,Obi,Female,2005-04-08,3,Accounting,200,2022
177,STU20230177,Ifeanyi,Eze,Male,2003-10-05,1,Computer Science,400,2022
178,STU20230178,Emeka,Adeyemi,Male,2005-01-14,2,Mathematics,300,2022
179,STU20230179,Esther,Adebayo,Female,2001-09-08,4,Economics,300,2024
180,STU20230180,Amaka,Adeyemi,Female,2005-05-25,2,Mathematics,400,2024
181,STU20230181,Joy,Obi,Male,2002-01-21,2,Mathematics,400,2023
182,STU20230182,Chioma,Olawale,Male,2002-02-25,1,Computer Science,200,2023
183,STU20230183,Victor,Olawale,Male,2004-02-08,4,Economics,400,2023
184,STU20230184,David,Okafor,Female,2006-06-08,1,Computer Science,400,2021
185,STU20230185,Ngozi,Okafor,Female,1999-12-21,3,Accounting,300,2022
186,STU20230186,Chinedu,Adebayo,Female,2000-12-16,2,Mathematics,400,2021
187,STU20230187,Chinedu,Adebayo,Male,2000-09-24,1,Computer Science,400,2021
188,STU20230188,Ngozi,Adebayo,Male,1998-04-14,3,Accounting,400,2021
189,STU20230189,Joy,Uche,Male,2006-10-08,1,Computer Science,200,2023
190,STU20230190,Chinedu,Adeyemi,Female,2001-10-14,4,Economics,200,2021
191,STU20230191,Adaeze,Olawale,Male,2004-08-02,3,Accounting,400,2023
192,STU20230192,Chioma,Okafor,Female,1999-06-08,3,Accounting,100,2023
193,STU20230193,Chinedu,Okeke,Female,2000-11-15,2,Mathematics,400,2022
194,STU20230194,Adaeze,Uche,Male,2002-04-02,2,Mathematics,200,2021
195,STU20230195,Victor,Adebayo,Female,2006-08-09,3,Accounting,100,2022
196,STU20230196,Amaka,Okafor,Female,2002-02-26,3,Accounting,300,2024
197,STU20230197,Chioma,Uche,Female,2003-03-16,4,Economics,400,2023
198,STU20230198,Michael,Eze,Female,1999-07-20,3,Accounting,200,2023
199,STU20230199,Adaeze,Eze,Female,2002-05-15,3,Accounting,400,2022
200,STU20230200,Amaka,Uche,Male,2003-10-14,4,Economics,300,2021
201,STU20230201,Samuel,Ibrahim,Female,2006-12-22,1,Computer Science,200,2021
202,STU20230202,Joy,Adeyemi,Female,1998-03-03,2,Mathematics,200,2023
203,STU20230203,David,Adeyemi,Male,2000-11-15,3,Accounting,300,2023
204,STU20230204,Michael,Eze,Male,2006-06-13,4,Economics,300,2023
205,STU20230205,Adaeze,Okafor,Male,2005-09-13,2,Mathematics,100,2023
206,STU20230206,Chioma,Uche,Male,2002-12-16,3,Accounting,200,2021
207,STU20230207,Joy,Eze,Female,2000-12-15,2,Mathematics,100,2023
208,STU20230208,Chioma,Eze,Female,2002-03-23,3,Accounting,200,2023
209,STU20230209,Adaeze,Obi,Male,2001-08-01,2,Mathematics,300,2023
210,STU20230210,Michael,Olawale,Male,1999-02-10,4,Economics,400,2024
211,STU20230211,Michael,Ibrahim,Male,2000-06-21,4,Economics,100,2024
212,STU20230212,Samuel,Olawale,Female,2000-09-21,4,Economics,200,2022
213,STU20230213,Daniel,Okafor,Male,2006-03-10,4,Economics,200,2022
214,STU20230214,Victor,Obi,Female,2006-05-28,3,Accounting,100,2023
215,STU20230215,Samuel,Olawale,Female,2000-11-10,2,Mathematics,100,2022
216,STU20230216,Emeka,Adeyemi,Female,1998-01-03,2,Mathematics,100,2023
217,STU20230217,Michael,Adeyemi,Female,1998-08-21,2,Mathematics,300,2023
218,STU20230218,Ngozi,Ibrahim,Female,2005-02-23,4,Economics,100,2022
219,STU20230219,David,Uche,Female,2001-06-20,4,Economics,200,2023
220,STU20230220,Chioma,Okeke,Female,2000-06-17,3,Accounting,100,2023
221,STU20230221,Grace,Eze,Female,2005-04-05,2,Mathematics,100,2021
222,STU20230222,David,Adeyemi,Female,2001-03-27,3,Accounting,300,2023
223,STU20230223,Michael,Nwosu,Female,2006-08-16,2,Mathematics,300,2024
224,STU20230224,Adaeze,Ibrahim,Female,2001-04-19,1,Computer Science,300,2021
225,STU20230225,Ifeanyi,Uche,Female,2002-09-01,1,Computer Science,100,2024
226,STU20230226,Victor,Adebayo,Female,2004-06-02,2,Mathematics,400,2021
227,STU20230227,Amaka,Olawale,Female,1999-07-17,2,Mathematics,400,2023
228,STU20230228,Emeka,Eze,Female,2003-06-18,1,Computer Science,300,2022
229,STU20230229,Esther,Olawale,Female,2006-01-02,2,Mathematics,100,2022
230,STU20230230,Michael,Uche,Female,2000-10-17,3,Accounting,200,2023
231,STU20230231,Emeka,Ibrahim,Female,2003-09-27,3,Accounting,400,2023
232,STU20230232,Joy,Okafor,Female,2003-11-04,4,Economics,400,2023
233,STU20230233,Esther,Uche,Female,2001-12-02,1,Computer Science,400,2022
234,STU20230234,Emeka,Obi,Male,1999-04-01,4,Economics,400,2023
235,STU20230235,Emeka,Ibrahim,Male,2004-09-25,4,Economics,400,2021
236,STU20230236,Daniel,Obi,Female,2005-09-13,2,Mathematics,300,2022
237,STU20230237,Victor,Olawale,Female,2006-06-22,4,Economics,300,2024
238,STU20230238,Ngozi,Adebayo,Female,2001-05-25,2,Mathematics,300,2022
239,STU20230239,Amaka,Uche,Female,2006-12-09,4,Economics,300,2021
240,STU20230240,Victor,Ibrahim,Female,2000-05-02,4,Economics,300,2021
241,STU20230241,Victor,Uche,Female,2005-04-07,3,Accounting,300,2023
242,STU20230242,Adaeze,Adeyemi,Male,2001-01-22,2,Mathematics,200,2022
243,STU20230243,Adaeze,Ibrahim,Female,2005-02-22,1,Computer Science,200,2021
244,STU20230244,David,Uche,Female,2001-05-11,2,Mathematics,300,2021
245,STU20230245,Samuel,Adeyemi,Male,2006-12-24,1,Computer Science,100,2022
246,STU20230246,Victor,Nwosu,Male,2004-08-06,4,Economics,300,2021
247,STU20230247,Ifeanyi,Adeyemi,Male,2003-05-15,1,Computer Science,400,2022
248,STU20230248,Ifeanyi,Obi,Male,2003-03-24,4,Economics,400,2023
249,STU20230249,Chinedu,Okeke,Female,2001-03-20,2,Mathematics,400,2024
250,STU20230250,Adaeze,Ibrahim,Male,2000-03-16,3,Accounting,300,2022
251,STU20230251,Ifeanyi,Ibrahim,Male,2005-05-11,1,Computer Science,300,2021
252,STU20230252,Samuel,Okeke,Male,1998-11-04,3,Accounting,400,2023
253,STU20230253,David,Olawale,Female,1999-11-10,2,Mathematics,300,2022
254,STU20230254,Emeka,Uche,Male,2005-12-20,2,Mathematics,300,2024
255,STU20230255,Michael,Olawale,Male,2001-11-25,4,Economics,100,2024
256,STU20230256,Adaeze,Adeyemi,Male,1998-09-17,3,Accounting,200,2022
257,STU20230257,Amaka,Olawale,Female,1999-11-07,2,Mathematics,400,2021
258,STU20230258,Michael,Okafor,Female,2000-09-14,4,Economics,400,2021
259,STU20230259,Samuel,Adebayo,Male,2004-05-27,4,Economics,100,2022
260,STU20230260,Chinedu,Ibrahim,Female,1999-09-02,1,Computer Science,100,2024
261,STU20230261,Ifeanyi,Ibrahim,Male,2000-11-24,1,Computer Science,400,2023
262,STU20230262,Grace,Ibrahim,Female,1999-11-22,4,Economics,200,2023
263,STU20230263,Emeka,Olawale,Female,2006-03-24,1,Computer Science,200,2021
264,STU20230264,Ifeanyi,Uche,Female,2006-07-27,1,Computer Science,200,2022
265,STU20230265,Amaka,Nwosu,Female,2001-12-25,4,Economics,100,2021
266,STU20230266,Esther,Okafor,Male,2001-02-04,4,Economics,100,2024
267,STU20230267,Ngozi,Okafor,Female,2005-04-18,1,Computer Science,200,2021
268,STU20230268,Daniel,Adebayo,Male,2003-10-20,2,Mathematics,300,2022
269,STU20230269,Victor,Nwosu,Male,2004-05-09,3,Accounting,100,2022
270,STU20230270,Daniel,Uche,Male,2003-11-22,4,Economics,400,2023
271,STU20230271,David,Nwosu,Female,2004-03-25,4,Economics,400,2022
272,STU20230272,Ifeanyi,Nwosu,Female,1998-09-14,2,Mathematics,400,2022
273,STU20230273,Ngozi,Adebayo,Male,2003-11-03,4,Economics,400,2023
274,STU20230274,Daniel,Obi,Male,2002-07-22,1,Computer Science,100,2021
275,STU20230275,Michael,Adeyemi,Male,2005-04-28,2,Mathematics,300,2023
276,STU20230276,Ngozi,Obi,Male,2005-04-23,1,Computer Science,200,2024
277,STU20230277,Daniel,Okeke,Female,2004-08-18,2,Mathematics,300,2023
278,STU20230278,Amaka,Olawale,Female,2005-02-26,3,Accounting,400,2023
279,STU20230279,Amaka,Okeke,Female,1998-10-28,2,Mathematics,200,2022
280,STU20230280,Ifeanyi,Olawale,Female,2002-03-07,1,Computer Science,300,2022
281,STU20230281,Esther,Obi,Female,2006-11-22,4,Economics,300,2023
282,STU20230282,Chioma,Uche,Female,2000-12-26,4,Economics,300,2022
283,STU20230283,Chioma,Olawale,Female,2000-09-21,2,Mathematics,100,2021
284,STU20230284,Joy,Okafor,Male,2004-03-27,1,Computer Science,200,2021
285,STU20230285,Chinedu,Obi,Female,2003-01-20,2,Mathematics,400,2024
286,STU20230286,Chinedu,Olawale,Female,1998-01-17,1,Computer Science,300,2023
287,STU20230287,Daniel,Ibrahim,Male,1999-02-17,1,Computer Science,200,2022
288,STU20230288,Esther,Olawale,Female,2003-05-26,2,Mathematics,400,2021
289,STU20230289,David,Uche,Male,2001-05-22,3,Accounting,100,2021
290,STU20230290,David,Ibrahim,Female,2006-08-02,1,Computer Science,100,2022
291,STU20230291,Grace,Ibrahim,Female,1999-09-02,1,Computer Science,200,2022
292,STU20230292,Ifeanyi,Okafor,Male,2002-09-19,4,Economics,100,2022
293,STU20230293,Chinedu,Obi,Male,2004-02-10,3,Accounting,200,2022
294,STU20230294,Samuel,Olawale,Female,2004-12-05,4,Economics,100,2023
295,STU20230295,Adaeze,Ibrahim,Male,1999-06-20,1,Computer Science,400,2023
296,STU20230296,Samuel,Adebayo,Female,2005-04-12,1,Computer Science,400,2024
297,STU20230297,Samuel,Adeyemi,Female,1999-10-10,2,Mathematics,200,2021
298,STU20230298,Ifeanyi,Nwosu,Female,2000-12-13,1,Computer Science,300,2023
299,STU20230299,Adaeze,Okafor,Female,2005-06-25,1,Computer Science,300,2021
300,STU20230300,Adaeze,Nwosu,Female,2005-09-18,2,Mathematics,400,2021
301,STU20230301,Adaeze,Okeke,Male,2003-07-01,1,Computer Science,300,2024
302,STU20230302,Michael,Eze,Male,2006-03-22,4,Economics,400,2022
303,STU20230303,Ifeanyi,Adebayo,Female,2005-03-03,2,Mathematics,200,2024
304,STU20230304,David,Adebayo,Female,1999-06-09,3,Accounting,200,2024
305,STU20230305,Grace,Eze,Male,2002-01-13,2,Mathematics,300,2024
306,STU20230306,Grace,Okeke,Female,2000-05-11,3,Accounting,200,2024
307,STU20230307,Emeka,Ibrahim,Female,2002-12-23,3,Accounting,400,2022
308,STU20230308,David,Adebayo,Female,2003-02-19,3,Accounting,200,2022
309,STU20230309,Chioma,Uche,Male,2005-05-27,1,Computer Science,100,2024
310,STU20230310,Emeka,Adebayo,Male,2002-11-05,4,Economics,400,2024
311,STU20230311,Grace,Adeyemi,Female,2004-09-17,1,Computer Science,400,2021
312,STU20230312,Chioma,Olawale,Male,1999-04-22,3,Accounting,300,2022
313,STU20230313,Esther,Ibrahim,Female,2004-02-01,1,Computer Science,100,2023
314,STU20230314,Daniel,Olawale,Male,2005-06-13,2,Mathematics,400,2022
315,STU20230315,Chinedu,Uche,Male,2002-07-03,3,Accounting,100,2022
316,STU20230316,Ifeanyi,Okeke,Female,2001-09-16,3,Accounting,300,2024
317,STU20230317,Grace,Uche,Female,1999-05-02,1,Computer Science,100,2021
318,STU20230318,Samuel,Eze,Male,2001-09-06,3,Accounting,200,2023
319,STU20230319,Grace,Obi,Female,2000-03-21,4,Economics,400,2024
320,STU20230320,Chioma,Adeyemi,Male,2005-10-14,1,Computer Science,400,2021
321,STU20230321,Ngozi,Adebayo,Male,1999-09-06,2,Mathematics,300,2023
322,STU20230322,Grace,Eze,Female,2005-09-21,2,Mathematics,300,2024
323,STU20230323,Esther,Eze,Female,2003-08-20,4,Economics,200,2023
324,STU20230324,Samuel,Nwosu,Female,1999-04-10,1,Computer Science,100,2022
325,STU20230325,Chioma,Nwosu,Female,2004-10-05,3,Accounting,400,2024
326,STU20230326,Grace,Olawale,Male,2006-03-16,2,Mathematics,300,2022
327,STU20230327,Amaka,Uche,Male,2003-01-16,2,Mathematics,200,2022
328,STU20230328,Daniel,Olawale,Female,2004-11-16,4,Economics,400,2024
329,STU20230329,Emeka,Eze,Male,2001-05-02,4,Economics,300,2022
330,STU20230330,Emeka,Uche,Female,2006-09-04,3,Accounting,100,2023
331,STU20230331,Daniel,Okafor,Female,2006-04-14,3,Accounting,100,2022
332,STU20230332,Joy,Okafor,Female,2002-06-28,3,Accounting,100,2024
333,STU20230333,Michael,Obi,Male,2003-12-20,1,Computer Science,400,2022
334,STU20230334,Michael,Obi,Male,1998-10-12,2,Mathematics,300,2022
335,STU20230335,Chioma,Adebayo,Female,2002-09-22,3,Accounting,100,2022
336,STU20230336,Victor,Okafor,Female,2000-12-28,4,Economics,200,2022
337,STU20230337,Chioma,Okeke,Male,2004-08-05,2,Mathematics,300,2024
338,STU20230338,Grace,Eze,Male,2004-09-24,4,Economics,300,2023
339,STU20230339,Grace,Okeke,Male,1999-12-15,4,Economics,300,2021
340,STU20230340,Ngozi,Ibrahim,Male,2005-05-11,4,Economics,300,2023
341,STU20230341,Esther,Uche,Female,1998-01-04,2,Mathematics,400,2021
342,STU20230342,Victor,Nwosu,Female,2005-01-14,1,Computer Science,200,2022
343,STU20230343,Emeka,Adebayo,Male,2003-05-03,3,Accounting,300,2022
344,STU20230344,David,Adebayo,Male,2004-11-03,1,Computer Science,100,2021
